,document_title,question_text,short_answer1,short_answer2,short_answer3,short_answer4,yes_no_answer1,yes_no_answer2,yes_no_answer3,yes_no_answer4
0,Therefore sign,what do the 3 dots mean in math,"{'end_byte': 66817, 'end_token': 837, 'start_byte': 66588, 'start_token': 816}","{'end_byte': 66609, 'end_token': 819, 'start_byte': 66588, 'start_token': 816}","{'end_byte': 66817, 'end_token': 837, 'start_byte': 66645, 'start_token': 826}",,NONE,NONE,NONE,
1,Watchman (law enforcement),when was the writ watch invented by who,,,,,,,,
2,Photograph (Ringo Starr song),who wrote the song photograph by ringo starr,"{'end_byte': 49415, 'end_token': 353, 'start_byte': 49404, 'start_token': 351}","{'end_byte': 45727, 'end_token': 126, 'start_byte': 45712, 'start_token': 124}",,,NONE,NONE,,
3,Super Bowl 50 halftime show,who is playing the halftime show at super bowl 2016,"{'end_byte': 58456, 'end_token': 208, 'start_byte': 58183, 'start_token': 199}","{'end_byte': 58191, 'end_token': 200, 'start_byte': 58183, 'start_token': 199}","{'end_byte': 58456, 'end_token': 208, 'start_byte': 58122, 'start_token': 196}",,NONE,NONE,NONE,
4,Matt Lanter,star wars the clone wars anakin voice actor,"{'end_byte': 59658, 'end_token': 179, 'start_byte': 59616, 'start_token': 173}","{'end_byte': 59658, 'end_token': 179, 'start_byte': 59616, 'start_token': 173}","{'end_byte': 59658, 'end_token': 179, 'start_byte': 59616, 'start_token': 173}",,NONE,NONE,NONE,
5,A Whiter Shade of Pale,meaning behind the song whiter shade of pale,,,,,,,,
6,Globe,where is most distortion found on a globe,,,,,,,,
7,List of A Certain Scientific Railgun episodes,to aru kagaku no railgun s episode 3,,,,,,,,
8,List of Seraph of the End chapters,when do new chapters of owari no seraph come out,,,,,,,,
9,Surname,where does the last name painter come from,,,,,,,,
10,Dominance (genetics),dominant alleles are always the most common allele in a population,,,,,,,,
11,List of woods,an eastern red cedar is a hardwood or softwood,,,,,,,,
12,Ahmedabad textile industry,what are the challenges faced by the cotton textile industry of ahmedabad,,,,,,,,
13,2017 BBC Sports Personality of the Year Award,who won the 2017 sports personality of the year,"{'end_byte': 40758, 'end_token': 104, 'start_byte': 40750, 'start_token': 102}","{'end_byte': 40758, 'end_token': 104, 'start_byte': 40750, 'start_token': 102}","{'end_byte': 40758, 'end_token': 104, 'start_byte': 40750, 'start_token': 102}","{'end_byte': 40758, 'end_token': 104, 'start_byte': 40750, 'start_token': 102}",NONE,NONE,NONE,NONE
14,I've Got the Joy Joy Joy Joy,i got the joy joy joy down in my heart lyrics,,,,,,,,
15,Sports in the Las Vegas metropolitan area,is there a basketball team in las vegas,,,,,,,,
16,Windsor Castle,who lives in the grounds of windsor castle,,,,,,,,
17,List of protected areas of the Philippines,list of environmentally critical areas in the philippines,,,,,,,,
18,"After the Bath, Woman Drying Herself",after the bath woman drying herself elements of design,,,,,,,,
19,Super-G,what’s the difference between downhill and super g,,,,,,,,
20,World Economic Forum,where was the world economic forum held this year,"{'end_byte': 149783, 'end_token': 287, 'start_byte': 149583, 'start_token': 272}","{'end_byte': 149783, 'end_token': 287, 'start_byte': 149583, 'start_token': 272}","{'end_byte': 167448, 'end_token': 1306, 'start_byte': 167443, 'start_token': 1305}","{'end_byte': 167448, 'end_token': 1306, 'start_byte': 167443, 'start_token': 1305}",NONE,NONE,NONE,NONE
21,Redwood National and State Parks,where are the giant redwoods located in california,"{'end_byte': 47252, 'end_token': 85, 'start_byte': 47237, 'start_token': 83}","{'end_byte': 47252, 'end_token': 85, 'start_byte': 47237, 'start_token': 83}","{'end_byte': 77595, 'end_token': 2365, 'start_byte': 77476, 'start_token': 2354}",,NONE,NONE,NONE,
22,List of Premier League players with 500 or more appearances,who has made the most premier league appearances,"{'end_byte': 49394, 'end_token': 371, 'start_byte': 49382, 'start_token': 369}","{'end_byte': 46229, 'end_token': 213, 'start_byte': 46217, 'start_token': 211}","{'end_byte': 49394, 'end_token': 371, 'start_byte': 49382, 'start_token': 369}","{'end_byte': 46229, 'end_token': 213, 'start_byte': 46217, 'start_token': 211}",NONE,NONE,NONE,NONE
